Date,Product Name,Region,Quantity
09-01-2023,Exhaust System,rajasthan,38
09-01-2023,Battery,mumbai,27
10-01-2023,silenser,kerala,60
10-01-2023,Engine,mumbai,52
10-01-2023,Transmission,kolkata,31
10-01-2023,Brake Pads,Mangalore,6
10-01-2023,Alternator,kolkata,18
10-01-2023,Starter Motor,Mangalore,22
10-01-2023,Suspension System,Delhi,86
10-01-2023,Fuel Pump,rajasthan,47
10-01-2023,Exhaust System,rajasthan,76
10-01-2023,Battery,mumbai,42
11-01-2023,silenser,kolkata,39
11-01-2023,Engine,Delhi,94
11-01-2023,Transmission,chennai,28
11-01-2023,Brake Pads,punjab,98
11-01-2023,Alternator,rajasthan,15
11-01-2023,Starter Motor,chennai,28
11-01-2023,Suspension System,Bangalore,66
11-01-2023,Fuel Pump,Bangalore,61
11-01-2023,Exhaust System,kerala,71
11-01-2023,Battery,kerala,28
12-01-2023,silenser,kerala,46
12-01-2023,Engine,chennai,7
12-01-2023,Transmission,mumbai,47
12-01-2023,Brake Pads,kolkata,18
12-01-2023,Alternator,kerala,23
12-01-2023,Starter Motor,Delhi,31
12-01-2023,Suspension System,punjab,98
12-01-2023,Fuel Pump,punjab,26
12-01-2023,Exhaust System,Bangalore,56
12-01-2023,Battery,Bangalore,79
13-01-2023,silenser,kerala,97
13-01-2023,Engine,mumbai,66
13-01-2023,Transmission,Mangalore,94
13-01-2023,Brake Pads,kolkata,50
13-01-2023,Alternator,Delhi,69
13-01-2023,Starter Motor,punjab,3
13-01-2023,Suspension System,kerala,75
13-01-2023,Fuel Pump,kolkata,76
13-01-2023,Exhaust System,Mangalore,45
13-01-2023,Battery,Delhi,55
14-01-2023,silenser,rajasthan,58
14-01-2023,Engine,Mangalore,25
14-01-2023,Transmission,rajasthan,96
14-01-2023,Brake Pads,punjab,87
14-01-2023,Alternator,rajasthan,84
14-01-2023,Starter Motor,kerala,73
14-01-2023,Suspension System,Bangalore,38
14-01-2023,Fuel Pump,Mangalore,4
14-01-2023,Exhaust System,rajasthan,96
14-01-2023,Battery,Mangalore,25
15-01-2023,silenser,kolkata,87
15-01-2023,Engine,rajasthan,55
15-01-2023,Transmission,rajasthan,64
15-01-2023,Brake Pads,kolkata,100
15-01-2023,Alternator,Mangalore,98
15-01-2023,Starter Motor,kolkata,20
15-01-2023,Suspension System,punjab,61
15-01-2023,Fuel Pump,punjab,44
15-01-2023,Exhaust System,rajasthan,99
15-01-2023,Battery,punjab,66
16-01-2023,silenser,punjab,69
16-01-2023,Engine,kerala,39
16-01-2023,Transmission,Mangalore,57
16-01-2023,Brake Pads,punjab,68
16-01-2023,Alternator,chennai,38
16-01-2023,Starter Motor,Mangalore,96
16-01-2023,Suspension System,kerala,51
16-01-2023,Fuel Pump,Bangalore,99
16-01-2023,Exhaust System,kerala,30
16-01-2023,Battery,chennai,76
17-01-2023,silenser,chennai,92
17-01-2023,Engine,kolkata,28
17-01-2023,Transmission,kerala,34
17-01-2023,Brake Pads,kolkata,66
17-01-2023,Alternator,Bangalore,35
17-01-2023,Starter Motor,punjab,32
17-01-2023,Suspension System,kolkata,2
17-01-2023,Fuel Pump,punjab,88
17-01-2023,Exhaust System,Delhi,27
17-01-2023,Battery,chennai,4
18-01-2023,silenser,kolkata,18
18-01-2023,Engine,Delhi,39
18-01-2023,Transmission,Mangalore,86
18-01-2023,Brake Pads,Mangalore,92
18-01-2023,Alternator,mumbai,66
18-01-2023,Starter Motor,mumbai,43
18-01-2023,Suspension System,kerala,44
18-01-2023,Fuel Pump,chennai,92
18-01-2023,Exhaust System,kerala,56
18-01-2023,Battery,kerala,36
19-01-2023,silenser,Delhi,75
19-01-2023,Engine,Delhi,31
19-01-2023,Transmission,kolkata,50
19-01-2023,Brake Pads,punjab,7
19-01-2023,Alternator,mumbai,88
19-01-2023,Starter Motor,punjab,92
19-01-2023,Suspension System,Mangalore,77
19-01-2023,Fuel Pump,rajasthan,39
19-01-2023,Exhaust System,kolkata,43
19-01-2023,Battery,Bangalore,22
20-01-2023,silenser,Bangalore,65
20-01-2023,Engine,kerala,37
20-01-2023,Transmission,Delhi,16
20-01-2023,Brake Pads,rajasthan,94
20-01-2023,Alternator,Bangalore,85
20-01-2023,Starter Motor,chennai,18
20-01-2023,Suspension System,kolkata,92
20-01-2023,Fuel Pump,chennai,52
20-01-2023,Exhaust System,rajasthan,99
20-01-2023,Battery,Bangalore,39
21-01-2023,silenser,kolkata,92
21-01-2023,Engine,chennai,84
21-01-2023,Transmission,chennai,57
21-01-2023,Brake Pads,kolkata,59
21-01-2023,Alternator,rajasthan,87
21-01-2023,Starter Motor,Mangalore,67
21-01-2023,Suspension System,kolkata,67
21-01-2023,Fuel Pump,Mangalore,83
21-01-2023,Exhaust System,kerala,94
21-01-2023,Battery,Mangalore,55
22-01-2023,silenser,punjab,37
22-01-2023,Engine,kerala,3
22-01-2023,Transmission,Mangalore,1
22-01-2023,Brake Pads,rajasthan,67
22-01-2023,Alternator,kerala,81
22-01-2023,Starter Motor,Bangalore,20
22-01-2023,Suspension System,punjab,31
22-01-2023,Fuel Pump,Mangalore,57
22-01-2023,Exhaust System,rajasthan,72
22-01-2023,Battery,Delhi,88
23-01-2023,silenser,kolkata,6
23-01-2023,Engine,mumbai,48
23-01-2023,Transmission,Mangalore,46
23-01-2023,Brake Pads,Mangalore,66
23-01-2023,Alternator,rajasthan,79
23-01-2023,Starter Motor,Mangalore,49
23-01-2023,Suspension System,mumbai,52
23-01-2023,Fuel Pump,punjab,41
23-01-2023,Exhaust System,Bangalore,45
23-01-2023,Battery,Delhi,53
24-01-2023,silenser,Delhi,32
24-01-2023,Engine,rajasthan,3
24-01-2023,Transmission,rajasthan,43
24-01-2023,Brake Pads,Delhi,0
24-01-2023,Alternator,Delhi,38
24-01-2023,Starter Motor,kerala,18
24-01-2023,Suspension System,Mangalore,1
24-01-2023,Fuel Pump,Delhi,83
24-01-2023,Exhaust System,kerala,70
24-01-2023,Battery,Mangalore,16
25-01-2023,silenser,Delhi,90
25-01-2023,Engine,chennai,33
25-01-2023,Transmission,Mangalore,66
25-01-2023,Brake Pads,Delhi,31
25-01-2023,Alternator,Mangalore,19
25-01-2023,Starter Motor,kolkata,4
25-01-2023,Suspension System,kerala,2
25-01-2023,Fuel Pump,kolkata,85
25-01-2023,Exhaust System,rajasthan,21
25-01-2023,Battery,mumbai,78
26-01-2023,silenser,chennai,13
26-01-2023,Engine,kerala,47
26-01-2023,Transmission,kerala,92
26-01-2023,Brake Pads,Mangalore,75
26-01-2023,Alternator,mumbai,52
26-01-2023,Starter Motor,mumbai,72
26-01-2023,Suspension System,kolkata,77
26-01-2023,Fuel Pump,kolkata,64
26-01-2023,Exhaust System,chennai,7
26-01-2023,Battery,mumbai,7
27-01-2023,silenser,Bangalore,4
27-01-2023,Engine,chennai,9
27-01-2023,Transmission,Mangalore,8
27-01-2023,Brake Pads,punjab,14
27-01-2023,Alternator,Mangalore,10
27-01-2023,Starter Motor,Mangalore,90
27-01-2023,Suspension System,Delhi,85
27-01-2023,Fuel Pump,Delhi,72
27-01-2023,Exhaust System,Bangalore,35
27-01-2023,Battery,chennai,42
28-01-2023,silenser,Delhi,44
28-01-2023,Engine,rajasthan,75
28-01-2023,Transmission,Mangalore,4
28-01-2023,Brake Pads,mumbai,3
28-01-2023,Alternator,Delhi,75
28-01-2023,Starter Motor,Mangalore,96
28-01-2023,Suspension System,Delhi,57
28-01-2023,Fuel Pump,kerala,35
28-01-2023,Exhaust System,chennai,35
28-01-2023,Battery,kolkata,58
29-01-2023,silenser,rajasthan,17
29-01-2023,Engine,punjab,6
29-01-2023,Transmission,rajasthan,92
29-01-2023,Brake Pads,Mangalore,60
29-01-2023,Alternator,mumbai,6
29-01-2023,Starter Motor,chennai,56
29-01-2023,Suspension System,Mangalore,11
29-01-2023,Fuel Pump,Bangalore,28
29-01-2023,Exhaust System,rajasthan,80
29-01-2023,Battery,chennai,95
30-01-2023,silenser,kerala,1
30-01-2023,Engine,rajasthan,43
30-01-2023,Transmission,Delhi,40
30-01-2023,Brake Pads,kolkata,55
30-01-2023,Alternator,kerala,45
30-01-2023,Starter Motor,Delhi,69
30-01-2023,Suspension System,Mangalore,21
30-01-2023,Fuel Pump,kerala,66
30-01-2023,Exhaust System,kolkata,100
30-01-2023,Battery,kolkata,83
31-01-2023,silenser,Mangalore,70
31-01-2023,Engine,kerala,75
31-01-2023,Transmission,kolkata,99
31-01-2023,Brake Pads,Mangalore,19
31-01-2023,Alternator,kerala,33
31-01-2023,Starter Motor,Delhi,2
31-01-2023,Suspension System,Bangalore,33
31-01-2023,Fuel Pump,punjab,85
31-01-2023,Exhaust System,mumbai,83
31-01-2023,Battery,chennai,35
01-02-2023,silenser,kerala,32
01-02-2023,Engine,kolkata,61
01-02-2023,Transmission,Mangalore,92
01-02-2023,Brake Pads,kolkata,7
01-02-2023,Alternator,mumbai,19
01-02-2023,Starter Motor,Delhi,95
01-02-2023,Suspension System,mumbai,32
01-02-2023,Fuel Pump,mumbai,3
01-02-2023,Exhaust System,chennai,18
01-02-2023,Battery,punjab,11
02-02-2023,silenser,punjab,77
02-02-2023,Engine,Delhi,38
02-02-2023,Transmission,Bangalore,90
02-02-2023,Brake Pads,chennai,94
02-02-2023,Alternator,chennai,49
02-02-2023,Starter Motor,mumbai,21
02-02-2023,Suspension System,Bangalore,57
02-02-2023,Fuel Pump,chennai,96
02-02-2023,Exhaust System,punjab,22
02-02-2023,Battery,Mangalore,8
03-02-2023,silenser,Bangalore,29
03-02-2023,Engine,Delhi,21
03-02-2023,Transmission,kolkata,28
03-02-2023,Brake Pads,punjab,26
03-02-2023,Alternator,kerala,97
03-02-2023,Starter Motor,rajasthan,46
03-02-2023,Suspension System,Mangalore,39
03-02-2023,Fuel Pump,mumbai,79
03-02-2023,Exhaust System,kolkata,14
03-02-2023,Battery,punjab,2
04-02-2023,silenser,Delhi,80
04-02-2023,Engine,mumbai,53
04-02-2023,Transmission,Delhi,32
04-02-2023,Brake Pads,rajasthan,58
04-02-2023,Alternator,mumbai,73
04-02-2023,Starter Motor,kolkata,97
04-02-2023,Suspension System,Delhi,91
04-02-2023,Fuel Pump,rajasthan,39
04-02-2023,Exhaust System,Mangalore,10
04-02-2023,Battery,Mangalore,90
05-02-2023,silenser,kerala,69
05-02-2023,Engine,Delhi,79
05-02-2023,Transmission,Mangalore,99
05-02-2023,Brake Pads,kerala,41
05-02-2023,Alternator,punjab,26
05-02-2023,Starter Motor,kolkata,4
05-02-2023,Suspension System,kolkata,34
05-02-2023,Fuel Pump,Delhi,21
05-02-2023,Exhaust System,Mangalore,35
05-02-2023,Battery,Delhi,27
06-02-2023,silenser,Bangalore,35
06-02-2023,Engine,kerala,54
06-02-2023,Transmission,kolkata,34
06-02-2023,Brake Pads,chennai,32
06-02-2023,Alternator,kolkata,94
06-02-2023,Starter Motor,Delhi,9
06-02-2023,Suspension System,Delhi,41
06-02-2023,Fuel Pump,chennai,66
06-02-2023,Exhaust System,kolkata,60
06-02-2023,Battery,Mangalore,14
07-02-2023,silenser,chennai,11
07-02-2023,Engine,punjab,56
07-02-2023,Transmission,Bangalore,71
07-02-2023,Brake Pads,mumbai,77
07-02-2023,Alternator,kolkata,29
07-02-2023,Starter Motor,kerala,6
07-02-2023,Suspension System,Bangalore,20
07-02-2023,Fuel Pump,kolkata,8
07-02-2023,Exhaust System,kolkata,7
07-02-2023,Battery,mumbai,88
08-02-2023,silenser,kerala,8
08-02-2023,Engine,Delhi,22
08-02-2023,Transmission,Mangalore,84
08-02-2023,Brake Pads,chennai,3
08-02-2023,Alternator,Bangalore,77
08-02-2023,Starter Motor,punjab,92
08-02-2023,Suspension System,mumbai,14
08-02-2023,Fuel Pump,Mangalore,23
08-02-2023,Exhaust System,kolkata,73
08-02-2023,Battery,punjab,32
09-02-2023,silenser,chennai,86
09-02-2023,Engine,rajasthan,32
09-02-2023,Transmission,Bangalore,80
09-02-2023,Brake Pads,kolkata,36
09-02-2023,Alternator,rajasthan,93
09-02-2023,Starter Motor,mumbai,10
09-02-2023,Suspension System,Delhi,44
09-02-2023,Fuel Pump,chennai,27
09-02-2023,Exhaust System,kerala,53
09-02-2023,Battery,Bangalore,89
10-02-2023,silenser,rajasthan,41
10-02-2023,Engine,punjab,93
10-02-2023,Transmission,Bangalore,86
10-02-2023,Brake Pads,Mangalore,0
10-02-2023,Alternator,chennai,16
10-02-2023,Starter Motor,kerala,37
10-02-2023,Suspension System,chennai,73
10-02-2023,Fuel Pump,mumbai,68
10-02-2023,Exhaust System,Delhi,64
10-02-2023,Battery,kolkata,36
11-02-2023,silenser,punjab,88
11-02-2023,Engine,mumbai,95
11-02-2023,Transmission,punjab,44
11-02-2023,Brake Pads,chennai,72
11-02-2023,Alternator,mumbai,27
11-02-2023,Starter Motor,punjab,51
11-02-2023,Suspension System,punjab,29
11-02-2023,Fuel Pump,chennai,22
11-02-2023,Exhaust System,kolkata,78
11-02-2023,Battery,punjab,36
12-02-2023,silenser,kolkata,87
12-02-2023,Engine,punjab,69
12-02-2023,Transmission,mumbai,99
12-02-2023,Brake Pads,Delhi,24
12-02-2023,Alternator,punjab,80
12-02-2023,Starter Motor,chennai,62
12-02-2023,Suspension System,Delhi,69
12-02-2023,Fuel Pump,rajasthan,4
12-02-2023,Exhaust System,mumbai,93
12-02-2023,Battery,kolkata,85
13-02-2023,silenser,Mangalore,52
13-02-2023,Engine,punjab,91
13-02-2023,Transmission,Bangalore,77
13-02-2023,Brake Pads,Mangalore,53
13-02-2023,Alternator,Bangalore,56
13-02-2023,Starter Motor,chennai,64
13-02-2023,Suspension System,kerala,55
13-02-2023,Fuel Pump,rajasthan,30
13-02-2023,Exhaust System,rajasthan,95
13-02-2023,Battery,mumbai,29
14-02-2023,silenser,kolkata,93
14-02-2023,Engine,Delhi,33
14-02-2023,Transmission,Bangalore,64
14-02-2023,Brake Pads,punjab,65
14-02-2023,Alternator,Bangalore,35
14-02-2023,Starter Motor,mumbai,87
14-02-2023,Suspension System,punjab,90
14-02-2023,Fuel Pump,Mangalore,63
14-02-2023,Exhaust System,kolkata,15
14-02-2023,Battery,kolkata,28
15-02-2023,silenser,kerala,8
15-02-2023,Engine,Bangalore,27
15-02-2023,Transmission,kolkata,23
15-02-2023,Brake Pads,mumbai,55
15-02-2023,Alternator,kolkata,14
15-02-2023,Starter Motor,mumbai,58
15-02-2023,Suspension System,punjab,72
15-02-2023,Fuel Pump,Bangalore,91
15-02-2023,Exhaust System,Bangalore,48
15-02-2023,Battery,punjab,84
16-02-2023,silenser,Delhi,60
16-02-2023,Engine,Delhi,13
16-02-2023,Transmission,chennai,26
16-02-2023,Brake Pads,rajasthan,52
16-02-2023,Alternator,Delhi,26
16-02-2023,Starter Motor,kolkata,66
16-02-2023,Suspension System,mumbai,99
16-02-2023,Fuel Pump,kerala,26
16-02-2023,Exhaust System,Mangalore,47
16-02-2023,Battery,kerala,77
17-02-2023,silenser,Mangalore,5
17-02-2023,Engine,mumbai,72
17-02-2023,Transmission,kerala,59
17-02-2023,Brake Pads,Delhi,35
17-02-2023,Alternator,kerala,12
17-02-2023,Starter Motor,Bangalore,36
17-02-2023,Suspension System,punjab,97
17-02-2023,Fuel Pump,Bangalore,64
17-02-2023,Exhaust System,Mangalore,94
17-02-2023,Battery,Delhi,8
18-02-2023,silenser,rajasthan,23
18-02-2023,Engine,Bangalore,32
18-02-2023,Transmission,kerala,62
18-02-2023,Brake Pads,mumbai,81
18-02-2023,Alternator,Delhi,33
18-02-2023,Starter Motor,Bangalore,98
18-02-2023,Suspension System,mumbai,37
18-02-2023,Fuel Pump,Bangalore,83
18-02-2023,Exhaust System,Bangalore,80
18-02-2023,Battery,rajasthan,17
19-02-2023,silenser,kerala,29
19-02-2023,Engine,kerala,66
19-02-2023,Transmission,kolkata,51
19-02-2023,Brake Pads,Delhi,9
19-02-2023,Alternator,kerala,60
19-02-2023,Starter Motor,rajasthan,68
19-02-2023,Suspension System,rajasthan,45
19-02-2023,Fuel Pump,Delhi,16
19-02-2023,Exhaust System,mumbai,71
19-02-2023,Battery,kerala,45
20-02-2023,silenser,kerala,34
20-02-2023,Engine,rajasthan,40
20-02-2023,Transmission,Mangalore,89
20-02-2023,Brake Pads,chennai,55
20-02-2023,Alternator,Delhi,94
20-02-2023,Starter Motor,mumbai,45
20-02-2023,Suspension System,Delhi,35
20-02-2023,Fuel Pump,chennai,30
20-02-2023,Exhaust System,kolkata,8
20-02-2023,Battery,Bangalore,69
21-02-2023,silenser,rajasthan,59
21-02-2023,Engine,kerala,57
21-02-2023,Transmission,Delhi,1
21-02-2023,Brake Pads,Mangalore,100
21-02-2023,Alternator,kolkata,69
21-02-2023,Starter Motor,Bangalore,99
21-02-2023,Suspension System,Mangalore,29
21-02-2023,Fuel Pump,mumbai,54
21-02-2023,Exhaust System,Delhi,44
21-02-2023,Battery,kolkata,26
22-02-2023,silenser,mumbai,55
22-02-2023,Engine,Bangalore,96
22-02-2023,Transmission,kolkata,30
22-02-2023,Brake Pads,kolkata,54
22-02-2023,Alternator,Mangalore,60
22-02-2023,Starter Motor,chennai,91
22-02-2023,Suspension System,Delhi,57
22-02-2023,Fuel Pump,Bangalore,68
22-02-2023,Exhaust System,kolkata,20
22-02-2023,Battery,Bangalore,26
23-02-2023,silenser,rajasthan,4
23-02-2023,Engine,Bangalore,54
23-02-2023,Transmission,kerala,15
23-02-2023,Brake Pads,mumbai,96
23-02-2023,Alternator,mumbai,89
23-02-2023,Starter Motor,Bangalore,36
23-02-2023,Suspension System,kerala,77
23-02-2023,Fuel Pump,punjab,9
23-02-2023,Exhaust System,mumbai,95
23-02-2023,Battery,kerala,81
24-02-2023,silenser,Mangalore,13
24-02-2023,Engine,rajasthan,17
24-02-2023,Transmission,mumbai,32
24-02-2023,Brake Pads,mumbai,95
24-02-2023,Alternator,kolkata,41
24-02-2023,Starter Motor,rajasthan,0
24-02-2023,Suspension System,Mangalore,57
24-02-2023,Fuel Pump,Bangalore,1
24-02-2023,Exhaust System,Delhi,67
24-02-2023,Battery,chennai,26
25-02-2023,silenser,kerala,89
25-02-2023,Engine,mumbai,16
25-02-2023,Transmission,punjab,12
25-02-2023,Brake Pads,mumbai,85
25-02-2023,Alternator,Delhi,29
25-02-2023,Starter Motor,rajasthan,46
25-02-2023,Suspension System,Bangalore,61
25-02-2023,Fuel Pump,Bangalore,84
25-02-2023,Exhaust System,rajasthan,16
25-02-2023,Battery,mumbai,35
26-02-2023,silenser,punjab,32
26-02-2023,Engine,kolkata,33
26-02-2023,Transmission,Mangalore,26
26-02-2023,Brake Pads,Mangalore,33
26-02-2023,Alternator,rajasthan,22
26-02-2023,Starter Motor,rajasthan,98
26-02-2023,Suspension System,kerala,43
26-02-2023,Fuel Pump,Bangalore,8
26-02-2023,Exhaust System,kerala,95
26-02-2023,Battery,kolkata,43
27-02-2023,silenser,kerala,33
27-02-2023,Engine,mumbai,57
27-02-2023,Transmission,kolkata,51
27-02-2023,Brake Pads,kolkata,17
27-02-2023,Alternator,Delhi,25
27-02-2023,Starter Motor,Mangalore,4
27-02-2023,Suspension System,kolkata,76
27-02-2023,Fuel Pump,Bangalore,22
27-02-2023,Exhaust System,rajasthan,52
27-02-2023,Battery,kolkata,31
28-02-2023,silenser,mumbai,8
28-02-2023,Engine,kolkata,18
28-02-2023,Transmission,rajasthan,19
28-02-2023,Brake Pads,Bangalore,64
28-02-2023,Alternator,mumbai,29
28-02-2023,Starter Motor,kolkata,26
28-02-2023,Suspension System,Mangalore,43
28-02-2023,Fuel Pump,Delhi,4
28-02-2023,Exhaust System,punjab,10
28-02-2023,Battery,kerala,50
01-03-2023,silenser,punjab,31
01-03-2023,Engine,Delhi,99
01-03-2023,Transmission,kerala,83
01-03-2023,Brake Pads,chennai,73
01-03-2023,Alternator,Bangalore,57
01-03-2023,Starter Motor,kolkata,57
01-03-2023,Suspension System,mumbai,6
01-03-2023,Fuel Pump,Delhi,47
01-03-2023,Exhaust System,punjab,88
01-03-2023,Battery,Delhi,86
02-03-2023,silenser,kerala,53
02-03-2023,Engine,kolkata,22
02-03-2023,Transmission,mumbai,82
02-03-2023,Brake Pads,kerala,59
02-03-2023,Alternator,kolkata,37
02-03-2023,Starter Motor,Mangalore,78
02-03-2023,Suspension System,kerala,98
02-03-2023,Fuel Pump,kerala,22
02-03-2023,Exhaust System,mumbai,38
02-03-2023,Battery,Delhi,89
03-03-2023,silenser,mumbai,4
03-03-2023,Engine,Delhi,87
03-03-2023,Transmission,punjab,6
03-03-2023,Brake Pads,punjab,47
03-03-2023,Alternator,mumbai,58
03-03-2023,Starter Motor,Bangalore,27
03-03-2023,Suspension System,kolkata,1
03-03-2023,Fuel Pump,kerala,52
03-03-2023,Exhaust System,Bangalore,77
03-03-2023,Battery,kerala,27
04-03-2023,silenser,Delhi,6
04-03-2023,Engine,Delhi,44
04-03-2023,Transmission,kolkata,71
04-03-2023,Brake Pads,Bangalore,60
04-03-2023,Alternator,chennai,32
04-03-2023,Starter Motor,punjab,88
04-03-2023,Suspension System,punjab,29
04-03-2023,Fuel Pump,rajasthan,2
04-03-2023,Exhaust System,Mangalore,16
04-03-2023,Battery,punjab,82
05-03-2023,silenser,punjab,87
05-03-2023,Engine,mumbai,99
05-03-2023,Transmission,chennai,50
05-03-2023,Brake Pads,chennai,99
05-03-2023,Alternator,chennai,18
05-03-2023,Starter Motor,rajasthan,25
05-03-2023,Suspension System,mumbai,40
05-03-2023,Fuel Pump,rajasthan,18
05-03-2023,Exhaust System,mumbai,39
05-03-2023,Battery,Delhi,77
06-03-2023,silenser,chennai,3
06-03-2023,Engine,Delhi,27
06-03-2023,Transmission,kerala,93
06-03-2023,Brake Pads,chennai,71
06-03-2023,Alternator,rajasthan,43
06-03-2023,Starter Motor,Mangalore,67
06-03-2023,Suspension System,rajasthan,73
06-03-2023,Fuel Pump,mumbai,93
06-03-2023,Exhaust System,chennai,77
06-03-2023,Battery,Bangalore,10
07-03-2023,silenser,rajasthan,45
07-03-2023,Engine,punjab,47
07-03-2023,Transmission,rajasthan,14
07-03-2023,Brake Pads,chennai,59
07-03-2023,Alternator,Mangalore,26
07-03-2023,Starter Motor,chennai,30
07-03-2023,Suspension System,kolkata,34
07-03-2023,Fuel Pump,kolkata,3
07-03-2023,Exhaust System,chennai,62
07-03-2023,Battery,kerala,79
08-03-2023,silenser,mumbai,9
08-03-2023,Engine,mumbai,87
08-03-2023,Transmission,chennai,99
08-03-2023,Brake Pads,Mangalore,5
08-03-2023,Alternator,mumbai,35
08-03-2023,Starter Motor,mumbai,92
08-03-2023,Suspension System,rajasthan,22
08-03-2023,Fuel Pump,mumbai,42
08-03-2023,Exhaust System,mumbai,27
08-03-2023,Battery,kolkata,86
09-03-2023,silenser,mumbai,78
09-03-2023,Engine,kerala,94
09-03-2023,Transmission,rajasthan,8
09-03-2023,Brake Pads,kerala,58
09-03-2023,Alternator,chennai,91
09-03-2023,Starter Motor,chennai,22
09-03-2023,Suspension System,Bangalore,29
09-03-2023,Fuel Pump,kerala,92
09-03-2023,Exhaust System,kolkata,48
09-03-2023,Battery,Bangalore,95
10-03-2023,silenser,chennai,22
10-03-2023,Engine,Delhi,0
10-03-2023,Transmission,Delhi,50
10-03-2023,Brake Pads,Bangalore,41
10-03-2023,Alternator,rajasthan,9
10-03-2023,Starter Motor,rajasthan,34
10-03-2023,Suspension System,punjab,2
10-03-2023,Fuel Pump,rajasthan,62
10-03-2023,Exhaust System,kolkata,85
10-03-2023,Battery,Bangalore,33
11-03-2023,silenser,punjab,35
11-03-2023,Engine,Bangalore,83
11-03-2023,Transmission,Bangalore,72
11-03-2023,Brake Pads,mumbai,77
11-03-2023,Alternator,rajasthan,91
11-03-2023,Starter Motor,Delhi,64
11-03-2023,Suspension System,rajasthan,28
11-03-2023,Fuel Pump,Bangalore,33
11-03-2023,Exhaust System,Delhi,89
11-03-2023,Battery,punjab,20
12-03-2023,silenser,kerala,88
12-03-2023,Engine,Mangalore,55
12-03-2023,Transmission,Mangalore,56
12-03-2023,Brake Pads,mumbai,87
12-03-2023,Alternator,chennai,18
12-03-2023,Starter Motor,kolkata,34
12-03-2023,Suspension System,kerala,20
12-03-2023,Fuel Pump,mumbai,97
